row_id,source,error_type,severity,field,detected_at,status
rebate_7c062f2b7a5957d9,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_7448ca5fce731710,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_10b8b043c0e5b163,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_c1a00a88830abf6b,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_e2d4a153f74d4b24,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_cb105cafd608b676,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_2306eca0b3f26a0a,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_d5ea215afd40d75a,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_d004c0ad5c4ace34,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_770a767a4d8ed811,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_e27d2a6dc85b9f10,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_28ba63b94f014a9c,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_478d9066240c792b,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_7ea864db5f00a5ce,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_6793e295df1b99a0,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_a1b2a92ff99e2820,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_7fbc77792bcd6c7b,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_532e8ad716ba039c,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_62cf00f7f3947857,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_07a18d87ca4af50a,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_bfc86a02958b6187,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_c8cf24fcab6b7ede,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_2e429ec4df626142,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_052c5a3945fc3ae4,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_d073e351f06a99cd,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_739f2501bcfc8515,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_2c744c8d8d1cfb88,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_a952ae79114d81f9,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_7a9e6f201bbab27c,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_36c284070c03a8db,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_7db77ed704283096,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_8298832cc5c8c110,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_55cd9c97758dacd7,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_a55f4a241653b481,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_2afb96d103caf4b9,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_69cfaa93a0d8a3ab,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_8aa4f7f3ce1303f6,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_183768938903383e,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_95d66e8d18c17c07,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_3947e3ccb05be3fe,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_f04fc6fc10f9d26e,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_b205752c6f43d1f8,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_ff29103fd359ac16,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_ffee27e55865de69,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_6868a9fc594718ef,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_6c06b6921ab2aadd,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_c2049abc3a5b4adf,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_e7a48ed883c760fd,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_40c1c0e890f0008c,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_c906c255f5c9ae19,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_b7296bdb91ad4c17,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_3756d58a1db8d54c,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_f6fa6ad49b7c3d51,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_9d21e304d3c97522,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_260b8f7a73b74f69,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_67105cdaa72c72a1,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_d8cd0e61283522a9,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_157ba25777f61ff9,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_9f5f304b653175c1,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_be7679b16399ca4c,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_0dc3a44013a993d2,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_8aba5a0838875c11,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_03ac782cf1897e16,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_1bccba0408de2818,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_2c77570d03beb610,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_e80ab631f88b4357,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_f17f65df8bc31530,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_3f7b0b0109bec20e,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_867292d543f67072,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_4c41b72cec003690,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_98bbfbfc2a9cc4c5,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_da141fa2f7da835b,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_f8570d10ac86ae7e,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_cc7f738b8dd9311c,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_d9fc64d7ff0f00c5,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_bfb15e613946aaa4,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_09b6ac1f873220f4,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_d2ba12fabcdfb14b,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_b7f2e819d024b032,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_2d9170da64538fdb,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_76ac02fcabf1ebf7,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_b0c591f38f43605e,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_d132f660ef6d133a,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_86a44cef1ff3f6e8,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_a8284db4e2619757,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_e11336b982e7c2a6,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_1c4a0d419b2cdc10,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_ceb54dd461276977,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_1e291940d9626155,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_6cf900b7553d244f,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_4c35a28ea69c514d,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_ec4194bda2b0a5d4,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_db7f14d5bd470088,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_eeb0ec150d59d410,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_4803076bf86e8507,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_27a8526a3465f732,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_d9d2d1cc5f89c69b,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_024eea36280fd66b,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_0906c4262ccfb08b,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_00b644de94a7b202,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
rebate_4d11b1bd0b2d5365,rebate,negative_amount,MEDIUM,net_amount,2026-05-19T11:55:48,open
