affiliate_id,unified_parent_id,rebate_month,affiliate_name,transaction_count,total_rebate_amount,avg_rebate_amount,distinct_partner_count
1001,1001,2024-02,North Judithbury Auto Body,1,413.01,413.01,1
1001,1001,2024-03,North Judithbury Auto Body,7,1926.94,275.27714285714285,5
1001,1001,2024-04,North Judithbury Auto Body,1,409.57,409.57,1
1001,1001,2024-05,North Judithbury Auto Body,1,244.46,244.46,1
1001,1001,2024-06,North Judithbury Auto Body,1,29.44,29.44,1
1001,1001,2024-07,North Judithbury Auto Body,2,891.8499999999999,445.92499999999995,2
1001,1001,2024-08,North Judithbury Auto Body,1,574.85,574.85,1
1001,1001,2024-09,North Judithbury Auto Body,3,896.16012345,298.72004115,2
1001,1001,2024-10,North Judithbury Auto Body,2,410.23,205.115,2
1001,1001,2024-12,North Judithbury Auto Body,3,866.8399999999999,288.94666666666666,2
1001,1001,2025-02,North Judithbury Auto Body,4,704.09,176.0225,3
1001,1001,2025-03,North Judithbury Auto Body,2,273.39,136.695,1
1001,1001,2025-04,North Judithbury Auto Body,1,500.41,500.41,1
1001,1001,2025-05,North Judithbury Auto Body,1,113.94,113.94,1
1001,1001,2025-06,North Judithbury Auto Body,2,194.55,97.275,2
1001,1001,2025-07,North Judithbury Auto Body,1,554.5,554.5,1
1001,1001,2025-09,North Judithbury Auto Body,2,606.8399999999999,303.41999999999996,2
1001,1001,2025-11,North Judithbury Auto Body,3,-114.26862345,-38.08954115,2
1001,1001,2025-12,North Judithbury Auto Body,3,390.6865,130.22883333333334,3
1001,1001,2026-01,North Judithbury Auto Body,2,187.76892345,93.884461725,1
1001,1001,2026-02,North Judithbury Auto Body,1,356.17,356.17,1
1001,1001,2026-03,North Judithbury Auto Body,2,561.27,280.635,2
1001,1001,2026-04,North Judithbury Auto Body,2,1130.75,565.375,2
1003,1003,2024-01,Lake Joyside Auto Body,2,313.49,156.745,2
1003,1003,2024-02,Lake Joyside Auto Body,3,853.28,284.4266666666667,2
1003,1003,2024-03,Lake Joyside Auto Body,3,1144.67,381.5566666666667,3
1003,1003,2024-04,Lake Joyside Auto Body,2,369.73,184.865,2
1003,1003,2024-06,Lake Joyside Auto Body,3,572.19,190.73000000000002,1
1003,1003,2024-07,Lake Joyside Auto Body,1,456.74,456.74,1
1003,1003,2024-08,Lake Joyside Auto Body,2,-75.56,-37.78,2
1003,1003,2024-09,Lake Joyside Auto Body,3,790.8199999999999,263.6066666666666,2
1003,1003,2024-10,Lake Joyside Auto Body,3,1307.2,435.73333333333335,3
1003,1003,2024-11,Lake Joyside Auto Body,2,227.76,113.88,2
1003,1003,2025-03,Lake Joyside Auto Body,3,581.15,193.71666666666667,2
1003,1003,2025-04,Lake Joyside Auto Body,1,-144.23,-144.23,1
1003,1003,2025-05,Lake Joyside Auto Body,1,291.6,291.6,1
1003,1003,2025-06,Lake Joyside Auto Body,3,688.75,229.58333333333334,2
1003,1003,2025-07,Lake Joyside Auto Body,2,882.4300000000001,441.21500000000003,2
1003,1003,2025-08,Lake Joyside Auto Body,1,42.02,42.02,1
1003,1003,2025-09,Lake Joyside Auto Body,1,205.0,205.0,1
1003,1003,2025-10,Lake Joyside Auto Body,1,305.54,305.54,1
1003,1003,2025-11,Lake Joyside Auto Body,2,793.8399999999999,396.91999999999996,2
1003,1003,2025-12,Lake Joyside Auto Body,3,494.11,164.70333333333335,2
1003,1003,2026-01,Lake Joyside Auto Body,1,468.10062345,468.10062345,1
1003,1003,2026-02,Lake Joyside Auto Body,2,433.37312345000004,216.68656172500002,2
1003,1003,2026-03,Lake Joyside Auto Body,4,1254.21,313.5525,2
1003,1003,2026-04,Lake Joyside Auto Body,4,981.69,245.4225,2
1004,1004,2024-01,New Roberttown Auto Body,3,1386.76,462.25333333333333,3
1004,1004,2024-03,New Roberttown Auto Body,4,1525.5,381.375,3
1004,1004,2024-04,New Roberttown Auto Body,1,468.81,468.81,1
1004,1004,2024-05,New Roberttown Auto Body,3,581.62312345,193.87437448333333,3
